Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Tuesday Apr 5,boxscore,HOU,@,NYY,W,5,3,,1-0,1,up 0.5,Keuchel,Betances,Gregerson,3:17,D,47820,+
2,2,Wednesday Apr 6,boxscore,HOU,@,NYY,L,6,16,,1-1,2,0.5,Pineda,McHugh,Nova,3:45,N,37493,-
3,3,Thursday Apr 7,boxscore,HOU,@,NYY,L,5,8,,1-2,2,1.0,Shreve,Harris,Miller,3:00,D,30003,--
4,4,Friday Apr 8,boxscore,HOU,@,MIL,L,4,6,,1-3,4,1.0,Anderson,Feldman,Jeffress,3:08,N,30100,---
5,5,Saturday Apr 9,boxscore,HOU,@,MIL,W,6,4,,2-3,3,0.5,Fister,Peralta,Gregerson,3:10,N,28127,+
6,6,Sunday Apr 10,boxscore,HOU,@,MIL,L,2,3,,2-4,3,1.5,Nelson,Keuchel,Jeffress,3:08,D,28441,-
7,7,Monday Apr 11,boxscore,HOU,,KCR,W,8,2,,3-4,3,0.5,McHugh,Young,,2:59,N,43332,+
8,8,Tuesday Apr 12,boxscore,HOU,,KCR,L,2,3,,3-5,4,1.5,Medlen,Fiers,Davis,3:17,N,21027,-
9,9,Wednesday Apr 13,boxscore,HOU,,KCR,L,2,4,,3-6,4,2.0,Hochevar,Giles,Soria,3:03,N,24109,--
10,10,Thursday Apr 14,boxscore,HOU,,KCR,L,2,6,,3-7,5,2.5,Kennedy,Fister,Davis,2:41,N,21203,---
11,11,Friday Apr 15,boxscore,HOU,,DET,W,1,0,,4-7,4,1.5,Keuchel,Pelfrey,Gregerson,2:34,N,30092,+
12,12,Saturday Apr 16,boxscore,HOU,,DET,L,3,5,,4-8,5,2.5,Verlander,McHugh,Rodriguez,3:17,N,30013,-
13,13,Sunday Apr 17,boxscore,HOU,,DET,W,5,4,,5-8,5,2.0,Fiers,Sanchez,Gregerson,3:13,D,30657,+
14,14,Tuesday Apr 19,boxscore,HOU,@,TEX,L,5,7,,5-9,5,3.0,Holland,Feldman,Tolleson,3:22,N,24181,-
15,15,Wednesday Apr 20,boxscore,HOU,@,TEX,L,1,2,,5-10,5,4.0,Hamels,Fister,Tolleson,3:10,N,25821,--
16,16,Thursday Apr 21,boxscore,HOU,@,TEX,L,4,7,,5-11,5,5.0,Griffin,Keuchel,Tolleson,2:42,N,25886,---
17,17,Friday Apr 22,boxscore,HOU,,BOS,L,2,6,,5-12,5,5.0,Wright,McHugh,Kimbrel,3:28,N,26672,----
18,18,Saturday Apr 23,boxscore,HOU,,BOS,W,8,3,,6-12,5,4.0,Fiers,Buchholz,,3:28,D,40232,+
19,19,Sunday Apr 24,boxscore,HOU,,BOS,L,5,7,12,6-13,5,4.0,Hembree,Giles,,5:03,N,32416,-
20,20,Monday Apr 25,boxscore,HOU,@,SEA,L,2,3,,6-14,5,4.5,Walker,Fister,Cishek,2:40,N,14832,--
21,21,Tuesday Apr 26,boxscore,HOU,@,SEA,L,1,11,,6-15,5,5.5,Karns,Keuchel,,3:02,N,13821,---
22,22,Wednesday Apr 27,boxscore,HOU,@,SEA,W,7,4,,7-15,5,5.0,McHugh,Iwakuma,,3:23,N,14173,+
23,23,Friday Apr 29,boxscore,HOU,@,OAK,L-wo,4,7,,7-16,5,6.0,Madson,Sipp,,3:13,N,20159,-
24,24,Saturday Apr 30,boxscore,HOU,@,OAK,L,0,2,,7-17,5,7.0,Hahn,Devenski,Madson,2:27,D,23084,--
25,25,Sunday May 1,boxscore,HOU,@,OAK,W,2,1,,8-17,5,6.0,Fister,Hill,Gregerson,2:50,D,24135,+
26,26,Monday May 2,boxscore,HOU,,MIN,L,2,6,,8-18,5,7.0,Berrios,Keuchel,,3:08,N,18243,-
27,27,Tuesday May 3,boxscore,HOU,,MIN,W,6,4,,9-18,5,6.5,McHugh,Meyer,Gregerson,3:01,N,21153,+
28,28,Wednesday May 4,boxscore,HOU,,MIN,W,16,4,,10-18,5,6.5,Feldman,Hughes,,3:23,N,20847,++
29,29,Thursday May 5,boxscore,HOU,,SEA,L,3,6,,10-19,5,7.5,Vincent,Gregerson,Cishek,3:13,N,20151,-
30,30,Friday May 6,boxscore,HOU,,SEA,W,6,3,,11-19,5,6.5,Fister,Walker,Gregerson,2:46,N,25413,+
31,31,Saturday May 7,boxscore,HOU,,SEA,L,2,3,10,11-20,5,7.5,Cishek,Sipp,,3:27,N,31559,-
32,32,Sunday May 8,boxscore,HOU,,SEA,W,5,1,,12-20,5,6.5,McHugh,Iwakuma,,2:57,D,28148,+
33,33,Monday May 9,boxscore,HOU,,CLE,W,7,1,,13-20,5,6.5,Fiers,Kluber,,2:49,N,20222,++
34,34,Tuesday May 10,boxscore,HOU,,CLE,L,0,4,,13-21,5,7.5,Bauer,Devenski,,2:38,N,23976,-
35,35,Wednesday May 11,boxscore,HOU,,CLE,W-wo,5,3,16,14-21,3,7.5,Feliz,Anderson,,5:09,D,24453,+
36,36,Thursday May 12,boxscore,HOU,@,BOS,L,1,11,,14-22,4,8.0,Price,Keuchel,,2:56,N,34982,-
37,37,Friday May 13,boxscore,HOU,@,BOS,W,7,6,,15-22,4,7.0,Feldman,Barnes,Gregerson,3:49,N,33148,+
38,38,Saturday May 14,boxscore,HOU,@,BOS,L-wo,5,6,11,15-23,5,7.0,Uehara,Feliz,,4:13,D,37430,-
39,39,Sunday May 15,boxscore,HOU,@,BOS,L,9,10,,15-24,5,7.5,Hembree,Feldman,Kimbrel,3:40,D,35736,--
40,40,Tuesday May 17,boxscore,HOU,@,CHW,W,6,5,11,16-24,5,7.0,Neshek,Albers,Sipp,3:54,N,13481,+
41,41,Wednesday May 18,boxscore,HOU,@,CHW,W,5,3,,17-24,5,6.0,Fister,Latos,Gregerson,2:57,N,14936,++
42,42,Thursday May 19,boxscore,HOU,@,CHW,L,1,2,,17-25,5,7.0,Sale,McHugh,,2:11,N,20096,-
43,43,Friday May 20,boxscore,HOU,,TEX,L,1,2,,17-26,5,8.0,Lewis,McCullers,Dyson,2:33,N,28724,--
44,44,Saturday May 21,boxscore,HOU,,TEX,L,1,2,,17-27,5,9.0,Ramos,Fiers,Dyson,2:41,N,35040,---
45,45,Sunday May 22,boxscore,HOU,,TEX,L,2,9,,17-28,5,10.0,Hamels,Keuchel,,2:36,D,35035,----
46,46,Tuesday May 24,boxscore,HOU,,BAL,W-wo,3,2,13,18-28,5,9.5,Feliz,Bundy,,4:14,N,24783,+
47,47,Wednesday May 25,boxscore,HOU,,BAL,W,4,3,,19-28,5,9.5,Neshek,Wilson,Gregerson,2:58,N,25618,++
48,48,Thursday May 26,boxscore,HOU,,BAL,W,4,2,,20-28,4,9.0,McCullers,Gausman,Giles,3:03,N,23826,+++
49,49,Friday May 27,boxscore,HOU,@,LAA,L,2,7,,20-29,4,9.0,Shoemaker,Fiers,,2:38,N,39047,-
50,50,Saturday May 28,boxscore,HOU,@,LAA,W,4,2,,21-29,4,8.0,Keuchel,Weaver,Gregerson,2:46,N,38176,+
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,51,Sunday May 29,boxscore,HOU,@,LAA,W,8,6,13,22-29,4,7.5,Feliz,Morin,Gregerson,4:57,D,36538,++
52,52,Monday May 30,boxscore,HOU,@,ARI,W,8,3,,23-29,4,7.5,McHugh,Escobar,,2:54,D,24798,+++
53,53,Tuesday May 31,boxscore,HOU,@,ARI,W,8,5,,24-29,4,7.5,McCullers,Corbin,Gregerson,3:11,D,15556,++++
54,54,Wednesday Jun 1,boxscore,HOU,,ARI,W-wo,5,4,11,25-29,3,6.5,Feliz,Clippard,,3:43,N,22642,+++++
55,55,Thursday Jun 2,boxscore,HOU,,ARI,L,0,3,,25-30,4,7.0,Greinke,Keuchel,Ziegler,2:36,D,21764,-
56,56,Friday Jun 3,boxscore,HOU,,OAK,W,12,2,,26-30,3,7.0,Fister,Hahn,,2:59,N,26458,+
57,57,Saturday Jun 4,boxscore,HOU,,OAK,W-wo,6,5,12,27-30,3,7.0,Feldman,Madson,,4:07,D,37223,++
58,58,Sunday Jun 5,boxscore,HOU,,OAK,W,5,2,,28-30,3,7.0,McCullers,Dull,Harris,3:05,D,30817,+++
59,59,Monday Jun 6,boxscore,HOU,@,TEX,L-wo,5,6,,28-31,3,8.0,Dyson,Giles,,3:08,N,30021,-
60,60,Tuesday Jun 7,boxscore,HOU,@,TEX,L,3,4,,28-32,3,9.0,Diekman,Keuchel,Dyson,2:48,N,32189,--
61,61,Wednesday Jun 8,boxscore,HOU,@,TEX,W,3,1,,29-32,3,8.0,Fister,Wilhelmsen,Harris,2:49,N,37696,+
62,62,Thursday Jun 9,boxscore,HOU,@,TEX,L,3,5,,29-33,3,9.0,Perez,McHugh,Diekman,2:51,D,30145,-
63,63,Friday Jun 10,boxscore,HOU,@,TBR,L,3,4,,29-34,3,9.0,Andriese,McCullers,Colome,3:19,N,13075,--
64,64,Saturday Jun 11,boxscore,HOU,@,TBR,W,4,3,,30-34,3,9.0,Fiers,Archer,Harris,2:52,D,19658,+
65,65,Sunday Jun 12,boxscore,HOU,@,TBR,L,0,5,,30-35,3,10.0,Moore,Keuchel,,2:45,D,11168,-
66,66,Tuesday Jun 14,boxscore,HOU,@,STL,W,5,2,,31-35,3,9.5,Fister,Garcia,Harris,2:18,N,42525,+
67,67,Wednesday Jun 15,boxscore,HOU,@,STL,W,4,1,,32-35,3,9.5,Sipp,Siegrist,Harris,2:56,N,42008,++
68,68,Friday Jun 17,boxscore,HOU,,CIN,L,2,4,11,32-36,3,11.0,Hoover,Neshek,Cingrani,3:57,N,37560,-
69,69,Saturday Jun 18,boxscore,HOU,,CIN,W-wo,5,4,11,33-36,3,11.0,Feldman,Smith,,3:05,D,39111,+
70,70,Sunday Jun 19,boxscore,HOU,,CIN,W,6,0,,34-36,3,11.0,Fiers,Finnegan,Devenski,2:48,D,36369,++
71,71,Monday Jun 20,boxscore,HOU,,LAA,W,10,7,,35-36,3,11.0,Fister,Chacin,,3:13,N,22553,+++
72,72,Tuesday Jun 21,boxscore,HOU,,LAA,W-wo,3,2,,36-36,3,10.0,Gregerson,Street,,2:54,N,25004,++++
73,73,Wednesday Jun 22,boxscore,HOU,,LAA,W,3,2,,37-36,2,10.0,Gregerson,Shoemaker,Harris,3:09,D,29649,+++++
74,74,Friday Jun 24,boxscore,HOU,@,KCR,W,13,4,,38-36,2,9.0,Keuchel,Volquez,,2:56,N,36195,++++++
75,75,Saturday Jun 25,boxscore,HOU,@,KCR,W,13,5,,39-36,2,9.0,Feliz,Young,,3:40,N,38880,+++++++
