Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 4,boxscore,TEX,,SEA,W,3,2,,1-0,1,up 0.5,Hamels,Hernandez,Tolleson,2:38,D,49289,+
2,2,Tuesday Apr 5,boxscore,TEX,,SEA,L,2,10,,1-1,2,0.5,Vincent,Barnette,,3:30,N,28386,-
3,3,Wednesday Apr 6,boxscore,TEX,,SEA,L,5,9,,1-2,3,1.0,Benoit,Tolleson,,2:56,D,26945,--
4,4,Thursday Apr 7,boxscore,TEX,@,LAA,L-wo,3,4,,1-3,4,1.5,Street,Dyson,,3:11,N,39089,---
5,5,Friday Apr 8,boxscore,TEX,@,LAA,W,7,3,,2-3,2,0.5,Griffin,Shoemaker,,3:30,N,35207,+
6,6,Saturday Apr 9,boxscore,TEX,@,LAA,W,4,1,,3-3,1,Tied,Hamels,Richards,Tolleson,2:53,N,38106,++
7,7,Sunday Apr 10,boxscore,TEX,@,LAA,L,1,3,,3-4,2,1.0,Weaver,Perez,Street,2:43,D,35097,-
8,8,Monday Apr 11,boxscore,TEX,@,SEA,W,7,3,,4-4,1,Tied,Lewis,Iwakuma,,3:00,N,13468,+
9,9,Tuesday Apr 12,boxscore,TEX,@,SEA,W,8,0,,5-4,1,up 0.5,Holland,Miley,,2:35,N,13376,++
10,10,Wednesday Apr 13,boxscore,TEX,@,SEA,L-wo,2,4,10,5-5,2,0.5,Cishek,Diekman,,3:20,D,15075,-
11,11,Thursday Apr 14,boxscore,TEX,,BAL,W,6,3,,6-5,1,Tied,Wilhelmsen,Tillman,Tolleson,2:47,N,22820,+
12,12,Friday Apr 15,boxscore,TEX,,BAL,L,5,11,,6-6,1,Tied,Worley,Wilhelmsen,,2:47,N,32628,-
13,13,Saturday Apr 16,boxscore,TEX,,BAL,W,8,4,,7-6,1,up 1.0,Kela,McFarland,,2:48,N,39493,+
14,14,Tuesday Apr 19,boxscore,TEX,,HOU,W,7,5,,8-6,1,up 1.0,Holland,Feldman,Tolleson,3:22,N,24181,++
15,15,Wednesday Apr 20,boxscore,TEX,,HOU,W,2,1,,9-6,1,up 1.0,Hamels,Fister,Tolleson,3:10,N,25821,+++
16,16,Thursday Apr 21,boxscore,TEX,,HOU,W,7,4,,10-6,1,up 1.0,Griffin,Keuchel,Tolleson,2:42,N,25886,++++
17,17,Friday Apr 22,boxscore,TEX,@,CHW,L,0,5,,10-7,1,Tied,Quintana,Perez,,2:41,N,15486,-
18,18,Saturday Apr 23,boxscore,TEX,@,CHW,L-wo,3,4,11,10-8,1,Tied,Albers,Martinez,,3:57,D,20182,--
19,19,Sunday Apr 24,boxscore,TEX,@,CHW,L,1,4,,10-9,1,Tied,Latos,Holland,Robertson,2:52,D,26058,---
20,20,Monday Apr 25,boxscore,TEX,,NYY,L,1,3,,10-10,2,0.5,Eovaldi,Ramos,Miller,2:46,N,31453,----
21,21,Tuesday Apr 26,boxscore,TEX,,NYY,W,10,1,,11-10,2,0.5,Griffin,Severino,,2:19,N,26163,+
22,22,Wednesday Apr 27,boxscore,TEX,,NYY,W,3,2,,12-10,1,up 0.5,Perez,Sabathia,Tolleson,2:44,N,35477,++
23,23,Friday Apr 29,boxscore,TEX,,LAA,W,4,2,,13-10,1,up 0.5,Lewis,Santiago,Tolleson,2:35,N,29589,+++
24,24,Saturday Apr 30,boxscore,TEX,,LAA,W,7,2,,14-10,1,up 0.5,Holland,Shoemaker,,2:55,N,41571,++++
25,25,Sunday May 1,boxscore,TEX,,LAA,L,6,9,,14-11,1,up 0.5,Mahle,Wilhelmsen,,3:33,D,39401,-
26,26,Monday May 2,boxscore,TEX,@,TOR,W,2,1,,15-11,1,up 0.5,Barnette,Floyd,Tolleson,2:44,N,25323,+
27,27,Tuesday May 3,boxscore,TEX,@,TOR,L-wo,1,3,10,15-12,2,0.5,Biagini,Klein,,3:25,N,24437,-
28,28,Wednesday May 4,boxscore,TEX,@,TOR,L-wo,3,4,,15-13,2,1.5,Osuna,Barnette,,2:32,N,25229,--
29,29,Thursday May 5,boxscore,TEX,@,TOR,L,2,12,,15-14,2,2.5,Happ,Holland,,2:33,N,35468,---
30,30,Friday May 6,boxscore,TEX,@,DET,W,5,1,,16-14,2,1.5,Hamels,Zimmermann,,2:31,N,28522,+
31,31,Saturday May 7,boxscore,TEX,@,DET,W,10,5,,17-14,2,1.5,Ranaudo,Ryan,Tolleson,3:14,D,35551,++
32,32,Sunday May 8,boxscore,TEX,@,DET,W,8,3,,18-14,2,0.5,Wilhelmsen,Lowe,,3:25,D,35406,+++
33,33,Monday May 9,boxscore,TEX,,CHW,L,4,8,12,18-15,2,1.5,Jennings,Ramos,,3:58,N,22958,-
34,34,Tuesday May 10,boxscore,TEX,,CHW,W,13,11,,19-15,2,1.5,Claudio,Albers,Tolleson,3:22,N,25804,+
35,35,Wednesday May 11,boxscore,TEX,,CHW,W,6,5,,20-15,2,1.5,Barnette,Jennings,Dyson,3:07,D,29023,++
36,36,Friday May 13,boxscore,TEX,,TOR,L,0,5,,20-16,2,1.5,Dickey,Perez,,2:38,N,40344,-
37,37,Saturday May 14,boxscore,TEX,,TOR,W-wo,6,5,10,21-16,2,0.5,Barnette,Floyd,,3:01,N,47115,+
38,38,Sunday May 15,boxscore,TEX,,TOR,W,7,6,,22-16,1,up 0.5,Bush,Chavez,Dyson,3:29,D,41327,++
39,39,Monday May 16,boxscore,TEX,@,OAK,L,1,3,,22-17,1,Tied,Manaea,Holland,Madson,2:28,N,10068,-
40,40,Tuesday May 17,boxscore,TEX,@,OAK,L-wo,5,8,,22-18,2,1.0,Madson,Tolleson,,2:45,N,12718,--
41,41,Wednesday May 18,boxscore,TEX,@,OAK,L,1,8,,22-19,2,1.0,Hill,Perez,,2:31,D,14323,---
42,42,Friday May 20,boxscore,TEX,@,HOU,W,2,1,,23-19,2,1.5,Lewis,McCullers,Dyson,2:33,N,28724,+
43,43,Saturday May 21,boxscore,TEX,@,HOU,W,2,1,,24-19,2,1.5,Ramos,Fiers,Dyson,2:41,N,35040,++
44,44,Sunday May 22,boxscore,TEX,@,HOU,W,9,2,,25-19,2,1.5,Hamels,Keuchel,,2:36,D,35035,+++
45,45,Monday May 23,boxscore,TEX,,LAA,L,0,2,,25-20,2,1.5,Tropeano,Holland,Smith,2:56,N,25298,-
46,46,Tuesday May 24,boxscore,TEX,,LAA,W,4,1,,26-20,2,1.5,Perez,Chacin,Dyson,2:47,N,26125,+
47,47,Wednesday May 25,boxscore,TEX,,LAA,W,15,9,,27-20,2,1.5,Lewis,Santiago,,3:34,D,32480,++
48,48,Friday May 27,boxscore,TEX,,PIT,L,1,9,,27-21,2,1.5,Niese,Hamels,,3:04,N,37645,-
49,49,Saturday May 28,boxscore,TEX,,PIT,W,5,2,,28-21,2,0.5,Darvish,Nicasio,,3:08,N,46950,+
50,50,Sunday May 29,boxscore,TEX,,PIT,W,6,2,,29-21,1,up 0.5,Perez,Liriano,,2:47,D,44613,++
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
51,51,Monday May 30,boxscore,TEX,@,CLE,W,9,2,,30-21,1,up 0.5,Holland,Tomlin,Ramos,2:36,N,14514,+++
52,52,Tuesday May 31,boxscore,TEX,@,CLE,W,7,3,,31-21,1,up 0.5,Lewis,Kluber,Dyson,2:51,N,10428,++++
53,53,Wednesday Jun 1,boxscore,TEX,@,CLE,L-wo,4,5,11,31-22,1,up 0.5,Gorzelanny,Claudio,,3:30,N,10524,-
54,54,Friday Jun 3,boxscore,TEX,,SEA,W,7,3,,32-22,1,up 1.0,Darvish,Walker,,2:52,N,32395,+
55,55,Saturday Jun 4,boxscore,TEX,,SEA,W,10,4,,33-22,1,up 2.0,Perez,Karns,,3:09,N,34317,++
