Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 4,boxscore,LAA,,CHC,L,0,9,,0-1,3,1.0,Arrieta,Richards,,3:08,N,44020,-
2,2,Tuesday Apr 5,boxscore,LAA,,CHC,L,1,6,,0-2,4,1.5,Lester,Heaney,,2:34,N,37042,--
3,3,Thursday Apr 7,boxscore,LAA,,TEX,W-wo,4,3,,1-2,2,1.0,Street,Dyson,,3:11,N,39089,+
4,4,Friday Apr 8,boxscore,LAA,,TEX,L,3,7,,1-3,4,1.0,Griffin,Shoemaker,,3:30,N,35207,-
5,5,Saturday Apr 9,boxscore,LAA,,TEX,L,1,4,,1-4,5,1.5,Hamels,Richards,Tolleson,2:53,N,38106,--
6,6,Sunday Apr 10,boxscore,LAA,,TEX,W,3,1,,2-4,3,1.5,Weaver,Perez,Street,2:43,D,35097,+
7,7,Monday Apr 11,boxscore,LAA,@,OAK,W,4,1,,3-4,3,0.5,Tropeano,Gray,Street,3:05,N,13371,++
8,8,Tuesday Apr 12,boxscore,LAA,@,OAK,W,5,4,,4-4,2,0.5,Morin,Doolittle,Street,2:41,N,13492,+++
9,9,Wednesday Apr 13,boxscore,LAA,@,OAK,W,5,1,,5-4,1,up 0.5,Shoemaker,Surkamp,,3:03,D,11216,++++
10,10,Friday Apr 15,boxscore,LAA,@,MIN,L,4,5,,5-5,1,Tied,Fien,Salas,Jepsen,3:29,N,22461,-
11,11,Saturday Apr 16,boxscore,LAA,@,MIN,L,4,6,,5-6,2,1.0,Pressly,Smith,Jepsen,2:55,D,27464,--
12,12,Sunday Apr 17,boxscore,LAA,@,MIN,L-wo,2,3,12,5-7,3,1.5,Tonkin,Rasmus,,4:02,D,25932,---
13,13,Monday Apr 18,boxscore,LAA,@,CHW,W,7,0,,6-7,2,1.0,Santiago,Rodon,,2:58,N,14706,+
14,14,Tuesday Apr 19,boxscore,LAA,@,CHW,L,0,5,,6-8,3,2.0,Latos,Shoemaker,Jones,2:46,N,12093,-
15,15,Wednesday Apr 20,boxscore,LAA,@,CHW,L,1,2,,6-9,4,3.0,Sale,Richards,Robertson,2:59,D,12785,--
16,16,Thursday Apr 21,boxscore,LAA,@,CHW,W,3,2,,7-9,4,3.0,Weaver,Danks,Street,2:48,D,11418,+
17,17,Friday Apr 22,boxscore,LAA,,SEA,L,2,5,10,7-10,4,3.0,Peralta,Alvarez,Cishek,3:23,N,40755,-
18,18,Saturday Apr 23,boxscore,LAA,,SEA,W,4,2,,8-10,4,2.0,Santiago,Hernandez,Street,2:45,N,41058,+
19,19,Sunday Apr 24,boxscore,LAA,,SEA,L,4,9,,8-11,4,2.0,Miley,Shoemaker,Vincent,2:43,D,37754,-
20,20,Monday Apr 25,boxscore,LAA,,KCR,W,6,1,,9-11,4,1.5,Richards,Kennedy,,2:59,N,31061,+
21,21,Tuesday Apr 26,boxscore,LAA,,KCR,W,9,4,,10-11,4,1.5,Weaver,Volquez,,3:02,N,34428,++
22,22,Wednesday Apr 27,boxscore,LAA,,KCR,W,4,2,,11-11,3,1.0,Salas,Young,Smith,2:51,N,35142,+++
23,23,Friday Apr 29,boxscore,LAA,@,TEX,L,2,4,,11-12,4,2.0,Lewis,Santiago,Tolleson,2:35,N,29589,-
24,24,Saturday Apr 30,boxscore,LAA,@,TEX,L,2,7,,11-13,4,3.0,Holland,Shoemaker,,2:55,N,41571,--
25,25,Sunday May 1,boxscore,LAA,@,TEX,W,9,6,,12-13,4,2.0,Mahle,Wilhelmsen,,3:33,D,39401,+
26,26,Monday May 2,boxscore,LAA,@,MIL,L,5,8,,12-14,4,3.0,Nelson,Weaver,,3:30,N,21352,-
27,27,Tuesday May 3,boxscore,LAA,@,MIL,L,4,5,,12-15,4,3.5,Guerra,Tropeano,Jeffress,2:41,N,28180,--
28,28,Wednesday May 4,boxscore,LAA,@,MIL,W,7,3,,13-15,3,3.5,Salas,Thornburg,Smith,3:28,D,21907,+
29,29,Friday May 6,boxscore,LAA,,TBR,L,2,5,,13-16,3,4.0,Archer,Rasmus,Colome,3:06,N,41253,-
30,30,Saturday May 7,boxscore,LAA,,TBR,L,2,4,,13-17,4,5.0,Ramirez,Smith,Colome,3:06,N,40142,--
31,31,Sunday May 8,boxscore,LAA,,TBR,L,1,3,,13-18,4,5.0,Andriese,Tropeano,Colome,2:56,D,41086,---
32,32,Tuesday May 10,boxscore,LAA,,STL,L,1,8,,13-19,3,6.5,Leake,Santiago,,2:57,N,30679,----
33,33,Wednesday May 11,boxscore,LAA,,STL,L,2,5,,13-20,3,7.5,Garcia,Shoemaker,Rosenthal,3:00,N,33378,-----
