Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 4,boxscore,OAK,,CHW,L,3,4,,0-1,3,1.0,Sale,Hill,Robertson,2:56,N,35067,-
2,2,Tuesday Apr 5,boxscore,OAK,,CHW,L,4,5,,0-2,4,1.5,Jones,Doolittle,Robertson,3:28,N,10478,--
3,3,Wednesday Apr 6,boxscore,OAK,,CHW,W,2,1,,1-2,3,1.0,Gray,Rodon,Madson,2:54,N,16468,+
4,4,Thursday Apr 7,boxscore,OAK,,CHW,L,1,6,,1-3,4,1.5,Latos,Graveman,,3:06,D,12577,-
5,5,Friday Apr 8,boxscore,OAK,@,SEA,W,3,2,,2-3,2,0.5,Doolittle,Cishek,Madson,2:55,N,47065,+
6,6,Saturday Apr 9,boxscore,OAK,@,SEA,W,6,1,,3-3,1,Tied,Hill,Karns,,2:54,N,36424,++
7,7,Sunday Apr 10,boxscore,OAK,@,SEA,W,2,1,10,4-3,1,up 1.0,Axford,Vincent,Doolittle,3:03,D,30834,+++
8,8,Monday Apr 11,boxscore,OAK,,LAA,L,1,4,,4-4,1,Tied,Tropeano,Gray,Street,3:05,N,13371,-
9,9,Tuesday Apr 12,boxscore,OAK,,LAA,L,4,5,,4-5,3,1.0,Morin,Doolittle,Street,2:41,N,13492,--
10,10,Wednesday Apr 13,boxscore,OAK,,LAA,L,1,5,,4-6,3,1.5,Shoemaker,Surkamp,,3:03,D,11216,---
11,11,Friday Apr 15,boxscore,OAK,,KCR,L,2,4,,4-7,4,1.5,Volquez,Hill,Davis,3:15,N,19451,----
12,12,Saturday Apr 16,boxscore,OAK,,KCR,W,5,3,,5-7,4,1.5,Gray,Young,Madson,3:02,D,25564,+
13,13,Sunday Apr 17,boxscore,OAK,,KCR,W,3,2,,6-7,2,1.0,Axford,Soria,Madson,2:37,D,29668,++
14,14,Tuesday Apr 19,boxscore,OAK,@,NYY,W,3,2,11,7-7,2,1.0,Rodriguez,Barbato,Madson,3:30,N,31952,+++
15,15,Wednesday Apr 20,boxscore,OAK,@,NYY,W,5,2,,8-7,2,1.0,Graveman,Eovaldi,Doolittle,2:57,N,37396,++++
16,16,Thursday Apr 21,boxscore,OAK,@,NYY,W,7,3,,9-7,2,1.0,Hill,Shreve,Madson,3:18,N,33818,+++++
17,17,Friday Apr 22,boxscore,OAK,@,TOR,W,8,5,,10-7,1,Tied,Gray,Sanchez,Madson,3:21,N,34251,++++++
18,18,Saturday Apr 23,boxscore,OAK,@,TOR,L,3,9,,10-8,1,Tied,Happ,Bassitt,,2:38,D,46334,-
19,19,Sunday Apr 24,boxscore,OAK,@,TOR,L,3,6,,10-9,1,Tied,Hutchison,Surkamp,Osuna,2:44,D,46300,--
20,20,Monday Apr 25,boxscore,OAK,@,DET,L,3,7,,10-10,2,0.5,Zimmermann,Graveman,,2:39,N,21671,---
21,21,Tuesday Apr 26,boxscore,OAK,@,DET,W,5,1,,11-10,2,0.5,Hill,Pelfrey,,2:38,N,22256,+
22,22,Wednesday Apr 27,boxscore,OAK,@,DET,L,4,9,,11-11,3,1.0,Verlander,Gray,,3:23,N,22636,-
23,23,Thursday Apr 28,boxscore,OAK,@,DET,L,3,7,,11-12,4,1.5,Sanchez,Bassitt,Rodriguez,3:04,D,26200,--
24,24,Friday Apr 29,boxscore,OAK,,HOU,W-wo,7,4,,12-12,3,1.5,Madson,Sipp,,3:13,N,20159,+
25,25,Saturday Apr 30,boxscore,OAK,,HOU,W,2,0,,13-12,3,1.5,Hahn,Devenski,Madson,2:27,D,23084,++
26,26,Sunday May 1,boxscore,OAK,,HOU,L,1,2,,13-13,3,1.5,Fister,Hill,Gregerson,2:50,D,24135,-
27,27,Monday May 2,boxscore,OAK,,SEA,L,3,4,,13-14,3,2.5,Karns,Graveman,Cishek,2:45,N,10535,--
28,28,Tuesday May 3,boxscore,OAK,,SEA,L,2,8,,13-15,3,3.0,Iwakuma,Gray,,2:38,N,12584,---
29,29,Wednesday May 4,boxscore,OAK,,SEA,L,8,9,,13-16,4,4.0,Montgomery,Axford,Cishek,3:10,D,16238,----
30,30,Saturday May 7 (1),boxscore,OAK,@,BAL,W,8,4,,14-16,3,4.5,Hill,Wright,,3:17,D,15110,+
31,31,Saturday May 7 (2),boxscore,OAK,@,BAL,L,2,5,,14-17,3,4.5,Jimenez,Hahn,Britton,2:32,N,29862,-
32,32,Sunday May 8,boxscore,OAK,@,BAL,L,3,11,,14-18,3,4.5,Tillman,Graveman,,2:59,D,43690,--
33,33,Monday May 9,boxscore,OAK,@,BOS,L,7,14,,14-19,3,5.5,Buchholz,Gray,,3:46,N,35227,---
34,34,Tuesday May 10,boxscore,OAK,@,BOS,L,5,13,,14-20,3,6.5,O'Sullivan,Manaea,,3:07,N,32167,----
35,35,Wednesday May 11,boxscore,OAK,@,BOS,L,3,13,,14-21,3,7.5,Porcello,Surkamp,,3:17,N,33283,-----
36,36,Friday May 13,boxscore,OAK,@,TBR,W,6,3,,15-21,3,6.5,Hill,Odorizzi,Madson,3:07,N,14604,+
37,37,Saturday May 14,boxscore,OAK,@,TBR,L,0,6,,15-22,4,6.5,Andriese,Graveman,,2:36,N,28158,-
38,38,Sunday May 15,boxscore,OAK,@,TBR,W,7,6,,16-22,4,6.0,Axford,Geltz,Madson,3:05,D,19545,+
39,39,Monday May 16,boxscore,OAK,,TEX,W,3,1,,17-22,4,5.0,Manaea,Holland,Madson,2:28,N,10068,++
40,40,Tuesday May 17,boxscore,OAK,,TEX,W-wo,8,5,,18-22,3,5.0,Madson,Tolleson,,2:45,N,12718,+++
41,41,Wednesday May 18,boxscore,OAK,,TEX,W,8,1,,19-22,3,4.0,Hill,Perez,,2:31,D,14323,++++
42,42,Thursday May 19,boxscore,OAK,,NYY,L,1,4,,19-23,4,5.0,Nova,Graveman,Chapman,2:39,N,17456,-
43,43,Friday May 20,boxscore,OAK,,NYY,L,3,8,,19-24,4,6.0,Sabathia,Gray,,3:13,N,28235,--
44,44,Saturday May 21,boxscore,OAK,,NYY,L,1,5,,19-25,4,7.0,Tanaka,Manaea,,2:46,D,26356,---
45,45,Sunday May 22,boxscore,OAK,,NYY,L,4,5,,19-26,4,8.0,Pineda,Hahn,Chapman,2:55,D,25237,----
